MPIO_CNMBR;CANT_MATRICULADOS
AYAPEL;159526
BUENAVISTA;71164
CANALETE;60032
CERETE;269365
CHIMÁ;37673
CHINU;133569
CIENAGA DE ORO;173562
COTORRA;45659
LA APARTADA;42420
LORICA;365671
LOS CÓRDOBAS;56510
MOMIL;45359
MONTELÍBANO;270342
MONTERÍA;1384897
MOÑITOS;91854
PLANETA RICA;211667
PUEBLO NUEVO;95272
PUERTO ESCONDIDO;78575
PUERTO LIBERTADOR;131139
PURÍSIMA;51471
SAHAGÚN;300497
SAN ANDRÉS DE SOTAVENTO;138223
SAN ANTERO;99072
SAN BERNARDO DEL VIENTO;99790
SAN CARLOS;77189
SAN JOSÉ DE URÉ;37505
SAN PELAYO;110464
TIERRALTA;340666
TUCHÍN;125521
VALENCIA;125147
